soc_sheet,soc_label,capacity,capacity_label,crate,n,spearman_rho
SOC25,25% State of charge,20Ah,20 Ah,0.5C,102,-0.8512212731514346
SOC25,25% State of charge,20Ah,20 Ah,1.0C,102,-0.6299507447989973
SOC25,25% State of charge,20Ah,20 Ah,1.5C,102,-0.7402747035930644
SOC25,25% State of charge,20Ah,20 Ah,2.0C,102,-0.7829555273137088
SOC25,25% State of charge,20Ah,20 Ah,2.5C,102,-0.1145397136019277
SOC25,25% State of charge,35Ah,35 Ah,0.5C,56,-0.40712102765827773
SOC25,25% State of charge,35Ah,35 Ah,1.0C,56,-0.31067430588925354
SOC25,25% State of charge,35Ah,35 Ah,1.5C,56,-0.5419282562881638
SOC25,25% State of charge,35Ah,35 Ah,2.0C,56,-0.3277603619170371
SOC25,25% State of charge,35Ah,35 Ah,2.5C,56,-0.43518352971798324
SOC25,25% State of charge,68Ah,68 Ah,0.5C,96,-0.7150809437305279
SOC25,25% State of charge,68Ah,68 Ah,1.0C,96,-0.6709485838293484
SOC25,25% State of charge,68Ah,68 Ah,1.5C,96,-0.7161880732204565
SOC25,25% State of charge,68Ah,68 Ah,2.0C,96,-0.6834406698647646
SOC25,25% State of charge,68Ah,68 Ah,2.5C,96,-0.731671456546721
SOC50,50% State of charge,20Ah,20 Ah,0.5C,102,-0.914124467173696
SOC50,50% State of charge,20Ah,20 Ah,1.0C,102,-0.9168059661113821
SOC50,50% State of charge,20Ah,20 Ah,1.5C,102,-0.9231282792861784
SOC50,50% State of charge,20Ah,20 Ah,2.0C,102,-0.8543096955229177
SOC50,50% State of charge,20Ah,20 Ah,2.5C,102,0.19169855071362166
SOC50,50% State of charge,35Ah,35 Ah,0.5C,56,-0.7513384724182505
SOC50,50% State of charge,35Ah,35 Ah,1.0C,56,-0.7949563225696772
SOC50,50% State of charge,35Ah,35 Ah,1.5C,56,-0.7701409988675074
SOC50,50% State of charge,35Ah,35 Ah,2.0C,56,-0.8118023773979056
SOC50,50% State of charge,35Ah,35 Ah,2.5C,56,-0.775605115837114
SOC50,50% State of charge,68Ah,68 Ah,0.5C,96,-0.8240688187222552
SOC50,50% State of charge,68Ah,68 Ah,1.0C,96,-0.8369344130338491
SOC50,50% State of charge,68Ah,68 Ah,1.5C,96,-0.8368287711441507
SOC50,50% State of charge,68Ah,68 Ah,2.0C,96,-0.8633702798180344
SOC50,50% State of charge,68Ah,68 Ah,2.5C,96,-0.8725849548925125
SOC75,75% State of charge,20Ah,20 Ah,0.5C,10,-0.19999999999999998
SOC75,75% State of charge,20Ah,20 Ah,1.0C,10,-0.13939393939393938
SOC75,75% State of charge,20Ah,20 Ah,1.5C,10,-0.2978737164032316
SOC75,75% State of charge,20Ah,20 Ah,2.0C,10,-0.32121212121212117
SOC75,75% State of charge,20Ah,20 Ah,2.5C,10,-0.2804930193267879
SOC75,75% State of charge,35Ah,35 Ah,0.5C,43,-0.8960412636984977
SOC75,75% State of charge,35Ah,35 Ah,1.0C,43,-0.9151558033035332
SOC75,75% State of charge,35Ah,35 Ah,1.5C,43,-0.928781837901197
SOC75,75% State of charge,35Ah,35 Ah,2.0C,43,-0.9273414320488793
SOC75,75% State of charge,35Ah,35 Ah,2.5C,43,-0.9357652983558874
SOC75,75% State of charge,68Ah,68 Ah,0.5C,56,-0.7756004658173729
SOC75,75% State of charge,68Ah,68 Ah,1.0C,56,-0.8593894632622208
SOC75,75% State of charge,68Ah,68 Ah,1.5C,56,-0.8543935124681887
SOC75,75% State of charge,68Ah,68 Ah,2.0C,56,-0.8389136862270942
SOC75,75% State of charge,68Ah,68 Ah,2.5C,56,-0.8312425347862296
